# Cross-world profiling summary
# Worlds analyzed: 3k_shapes_dynamic, 3k_shapes_static, gpu_lidar, jetty_headless, sensors_demo, sensors_nonrendering
# Date: 2026-05-02 16:34
# Ranked by max_score desc, then worlds_present desc
rank	function_name	max_score	worlds_present	worst_world	cpu_range	cache_range	evidence
1	gz::sim::v11::systems::SensorsPrivate::RenderThread	45	3/6	gpu_lidar (5.4%)	5.4-23.6%	1.2-8.1	cpu,cache
2	gz::sim::v11::SimulationRunner::Step	40	6/6	3k_shapes_dynamic (97.9%)	28.6-98.5%	-	cpu
3	gz::sim::v11::systems::Physics::Update	40	6/6	3k_shapes_dynamic (87.1%)	24.0-87.1%	-	cpu
4	gz::sim::v11::SimulationRunner::Run	40	6/6	3k_shapes_dynamic (98.0%)	28.9-98.6%	0.2-0.4	cpu,cache
5	gz::physics::dartsim::SimulationFeatures::WorldForwardStep	40	6/6	3k_shapes_dynamic (82.7%)	21.5-82.7%	-	cpu
6	gz::sim::v11::systems::PhysicsPrivate::Step	40	6/6	3k_shapes_dynamic (83.3%)	21.8-83.3%	-	cpu
7	gz::sim::v11::SimulationRunner::UpdateSystems	40	6/6	3k_shapes_dynamic (87.1%)	25.2-87.1%	-	cpu
8	gz::sim::v11::SimulationRunner::ProcessRecreateEntitiesRemove	40	6/6	3k_shapes_dynamic (10.8%)	1.7-45.0%	-	cpu
9	void gz::sim::v11::EntityComponentManager::EachNoCache<gz::sim::v11::components::Component<std::add_lvalue_reference<void>, gz::sim::v11::components::ModelTag, gz::sim::v11::serializers::DefaultSerializer<std::add_lvalue_reference<void> > >, gz::sim::v11::components::Component<std::add_lvalue_reference<void>, gz::sim::v11::components::RecreateTag, gz::sim::v11::serializers::DefaultSerializer<std::add_lvalue_reference<void> > > >	40	6/6	3k_shapes_dynamic (10.8%)	1.5-45.2%	-	cpu
10	gz::sim::v11::ServerPrivate::Run	40	6/6	3k_shapes_dynamic (98.0%)	28.9-98.6%	0.2-0.3	cpu,cache
11	gz::math::v10::graph::Graph<unsigned long, bool, gz::math::v10::graph::DirectedEdge<bool> >::Vertices	40	5/6	3k_shapes_static (13.6%)	1.5-13.6%	0.2-1.1	cpu,cache
12	gz::sim::v11::SimulationRunner::ProcessSystemQueue	40	4/6	gpu_lidar (11.9%)	0.9-42.7%	0.0-1.1	cpu,cache
13	gz::sim::v11::systems::SensorsPrivate::RunOnce	40	3/6	jetty_headless (23.6%)	5.4-23.6%	-	cpu
14	gz::sim::v11::Barrier::Wait	40	3/6	sensors_nonrendering (38.2%)	1.9-38.2%	-	cpu
15	gz::sim::v11::EntityComponentManager::EntityMatches	40	2/6	3k_shapes_static (28.1%)	6.6-28.1%	0.4-2.0	cpu,cache
16	gz::physics::ForwardStep::World<gz::physics::FeaturePolicy<double, 3ul>, gz::sim::v11::systems::PhysicsPrivate::MinimumFeatureList>::Step	40	2/6	3k_shapes_dynamic (83.3%)	52.0-83.3%	-	cpu
17	gz::sim::v11::loadMesh	40	1/6	jetty_headless (13.5%)	13.5-13.5%	-	cpu
18	gz::common::MeshManager::Load	40	1/6	jetty_headless (13.5%)	13.5-13.5%	-	cpu
19	gz::common::AssimpLoader::Load	40	1/6	jetty_headless (12.9%)	12.9-12.9%	-	cpu
20	gz::sim::v11::RenderUtil::Update	40	1/6	jetty_headless (23.5%)	23.5-23.5%	-	cpu
21	gz::sim::v11::SceneManager::LoadGeometry	40	1/6	jetty_headless (23.4%)	23.4-23.4%	-	cpu
22	gz::sim::v11::SceneManager::CreateVisual	40	1/6	jetty_headless (23.5%)	23.5-23.5%	-	cpu
